year,mileage,tax,mpg,engineSize,price
2004,80000,330,23.7,3.2,16950
2004,45229,330,30.4,2,5495
2004,74000,160,45.6,1.2,950
2004,170000,165,52.3,2,1287
2004,77000,300,36.2,1.6,1995
2004,31404,200,42.8,1.6,1595
2004,143000,325,27.2,3,6450
2004,44000,325,30.7,2,3495
2004,62000,145,43.5,1,1395
2004,88936,200,44.1,1.4,2295
2004,88024,325,22.4,4.2,6990
2004,112000,200,49.6,2,2495
2004,114000,325,32.1,2.2,1995
2004,100000,160,44.8,1.3,2495
2004,28477,305,36.2,1.6,4689
2004,104000,325,31.7,1.8,2495
2004,118000,265,41.5,2.2,1780
2004,46000,330,28,3.5,4890
2004,86000,325,28,3.5,5000
2004,162000,205,49.6,2,1445
2004,90000,325,26.6,4.4,4250
2004,160000,325,31.4,3,5975
2004,82785,330,29.4,2.5,3990
2004,59300,200,42.8,1.4,1500
2004,46000,325,23.3,3.2,19500
2004,60000,325,23.3,3.2,17850
2005,98213,200,42.1,1.6,1885
2005,71214,200,42.1,1.6,795
2005,101000,200,42.1,1.6,1449
2005,96000,160,47.1,1.2,1495
2005,53536,165,47.1,1.2,2695
2005,85160,200,41.5,1.6,1999
2005,103000,185,48.7,2,1295
2005,119000,165,45.6,1.2,1295
2005,40000,205,44.1,1.6,1995
2005,114000,305,28,2.3,1995
2005,87908,265,36.7,1.6,2495
2005,121000,235,39.8,2,675
2005,87530,235,39.8,2,2295
2005,88000,200,41.5,1.6,2695
2005,63000,325,32.1,1.8,5200
2005,31000,200,41.5,1.4,2095
2005,101980,200,47.9,2,2490
2005,122000,160,49.6,2,2595
2005,108000,260,36.2,1.8,675
2005,73102,200,41.5,1.6,2895
2005,119017,160,47.9,2,1495
2005,88746,265,36.7,1.6,1475
2005,115000,315,20.8,3.2,10999
2005,130000,315,31.4,2.5,2499
2005,34982,200,43.5,1.4,2691
2005,106790,240,35.3,1.6,2895
2005,105000,260,43.5,2.1,1995
2005,79191,325,32.5,1.8,3485
2005,82000,260,38.2,1.4,2195
2005,84000,305,24.6,4.4,4995
2005,63547,265,42.8,2,3795
2005,55000,160,50.4,2,4375
2005,48830,145,50.4,1.3,2795
2005,95000,300,34.9,2,2990
2005,64373,145,50.4,1,2699
2005,88000,265,35.8,1.6,1295
2005,73000,325,32.5,1.8,3995
2005,39000,315,36.7,3.2,7995
2005,64000,30,64.2,1.4,2395
2005,87990,325,36.7,3,4990
2005,97000,205,48.7,2,675
2005,63000,270,35.3,1.6,1999
2005,140000,325,31,2.5,13990
2005,93839,260,40.9,1.6,1495
2005,87263,145,50.4,1.3,2495
2005,63000,260,42.2,2,5678
2005,72000,145,48.7,1.2,1395
2005,122000,150,53.3,0,2495
2005,88836,20,61.4,1,1295
2005,130000,10,65.7,1.5,2495
2005,75148,330,36.7,3.2,4990
2005,80750,325,31,3,8000
2005,62000,330,22.4,4.2,5895
2005,147000,330,27.9,3.2,1450
2005,74000,235,38.7,1.8,1495
2005,150000,150,57.7,1.7,695
2005,99000,300,39.8,2,3495
2005,113000,325,32.1,2,2394
2005,100000,300,36.7,1.8,1990
2005,36000,165,47.1,1.2,1995
2005,80543,325,24.1,3.7,6995
2005,104000,240,38.1,2,1975
2005,129000,260,36.7,1.8,1300
2005,109000,325,32.1,1.8,2690
2005,123000,300,33.6,1.8,3195
2005,105000,300,39.8,2,3695
2005,88150,125,58.9,1.4,2495
2005,77500,235,40.4,1.6,3495
2006,153000,300,33.6,1.8,1695
2006,94000,145,48.7,1.3,2750
2006,68000,260,40.4,2.2,4495
2006,81000,325,34.4,3,4995
2006,91000,305,39.2,2,3499
2006,86000,260,38.2,1.4,2349
2006,93000,240,43.4,2,3895
2006,80000,300,33.6,2,3888
2006,61467,145,48.7,1.2,1495
2006,126054,555,29.7,3,4999
2006,97056,240,38.7,1.6,1895
2006,56000,205,46.3,1.9,2790
2006,94400,200,43.5,1.3,1095
2006,82704,150,46.3,1.2,1250
2006,70000,305,34.4,1.8,1700
2006,65000,565,28,3.5,6850
2006,101000,265,41.5,2.2,3690
2006,178000,325,34.4,2.5,7994
2006,75000,555,28,3.5,4995
2006,100964,160,47.1,1.2,1295
2006,105000,125,58.9,1.6,1495
2006,141000,125,60.1,1.4,1295
2006,39000,260,38.2,1.4,2450
2006,126323,200,46.3,2,1895
2006,91000,235,40.4,1.6,1775
2006,48000,165,47.1,1.3,2750
2006,87743,165,49.6,2,2250
2006,62000,30,62.8,1.4,2490
2006,107765,165,47.1,1.2,995
2006,70730,260,36.7,1.6,2495
2006,66000,160,52.3,2,2880
2006,120000,210,44.1,2,3875
2006,106000,325,34.4,2.5,14495
2006,66000,535,20.3,4.2,17999
2006,97556,30,62.8,1.4,1299
2006,100418,125,52.3,1,1550
2006,45000,165,47.1,1.2,2275
2006,105000,205,46.3,2,2395
2006,38511,555,29.1,2,4990
2006,99000,160,47.1,1.3,2395
2006,92000,265,36.7,1.8,1795
2006,97000,565,29.7,2.5,4290
2006,71356,300,39.8,2,3499
2006,98000,570,21.1,5.2,8750
2006,86000,155,47.1,1.3,2795
2006,89000,570,19.1,5,12495
2006,104000,325,33.6,3,5595
2006,95000,555,29.7,3,5690
2006,95000,190,41.5,1.6,2595
2006,89000,120,58.9,1.6,2195
2006,89000,190,40.4,1.6,3195
2006,86000,565,28.2,3.5,3200
2006,111000,200,45.6,1.8,2995
2006,137827,325,34.9,3,2995
2006,114000,260,37.7,2,3595
2006,74055,290,35.8,1.6,1850
2006,78356,325,32.1,2,2695
2006,103875,260,36.7,1.6,1799
2006,73370,160,47.1,1.2,2395
2006,88000,300,39.2,2,4195
2006,69255,200,43.5,1.4,2495
2006,90000,200,49.6,2,2995
2006,114000,195,48.7,2,2995
2006,105000,240,38.7,2,2500
2006,105000,300,34,2,3495
2006,63100,160,47.1,1.2,2395
2006,20000,540,28.8,2.2,14500
2006,73566,205,41.5,1.6,2891
2006,139905,145,54.3,1.7,850
2006,113000,555,31.4,3,7240
2006,92640,200,48,2,2995
2006,74000,570,22.8,4.2,7995
2006,116000,305,35.8,1.8,3295
2006,64000,195,43.5,1.4,2495
2006,70952,565,28.5,3,5990
2006,61808,305,35.8,2,4000
2006,88000,260,37.7,1.6,2990
2006,117000,150,50.4,1.9,3195
2006,56998,145,48.7,1.2,1991
2006,87000,305,36.7,2,3880
2006,125000,240,39.2,1.8,1990
2006,76000,160,50.4,2,2795
2006,100000,235,45.6,1.9,2395
2006,33000,265,37.2,1.4,3795
2006,29000,265,37.2,1.6,3495
2007,96000,235,39.8,1.8,2495
2007,67000,330,26.3,2.5,5995
2007,40000,265,36.2,1.6,3850
2007,85509,300,36.2,2,4999
2007,160000,290,39.2,2.2,3695
2007,103000,165,45.6,1.4,1695
2007,115000,160,45.6,1.4,1595
2007,71000,200,46.3,1.9,2499
2007,88000,200,43.5,1.3,1295
2007,74000,200,42.2,1.4,1500
2007,94000,520,29.4,0,4500
2007,79485,200,45.6,1.5,2795
2007,67000,555,28.8,3,6750
2007,79000,565,28.5,3,8750
2007,103500,260,36.7,1.6,2395
2007,48640,165,46.3,1.4,2499
2007,94000,205,40.4,1.6,2999
2007,1995,240,39.8,1.8,1995
2007,134000,235,44.8,1.8,3395
2007,116000,165,47.9,2,2295
2007,100000,555,32.8,3,4990
2007,83000,325,34.4,2.5,5200
2007,135391,205,46.3,2.2,1795
2007,120000,300,36.7,1.8,1200
2007,73000,325,31,2,8488
2007,110000,200,47.9,2,1200
2007,50000,160,45.6,1.4,2895
2007,102000,145,56.5,2,4995
2007,106000,290,34.9,1.8,2895
2007,97284,260,42.2,2,3885
2007,73000,235,42.8,2.2,4395
2007,63000,145,47.1,1.2,1400
2007,63000,240,39.8,1.8,2995
2007,61000,200,40.4,1.6,2695
2007,138649,325,33.2,2,3495
2007,143695,200,42.8,1.6,995
2007,129000,200,45.6,1.8,2995
2007,150000,205,46.3,2,3995
2007,63000,145,47.1,1.2,2795
2007,105000,570,26.9,3,6000
2007,124200,260,40.9,2,2995
2007,90000,300,27.7,3,4395
2007,106000,200,43.5,1.6,10000
2007,103000,205,49.6,2,2550
2007,108475,160,45.6,1.4,1295
2007,47000,325,35.8,2.5,3495
2007,63742,235,42.8,2.2,4295
2007,78000,125,58.9,1.6,2495
2007,93000,145,48.7,1.3,2840
2007,75000,330,35.8,2.5,6470
2007,50403,260,37.1,1.6,2799
2007,42315,200,40.4,1.6,4295
2007,71248,260,36.7,1.8,2795
2007,107000,235,39.8,1.6,1599
2007,70546,235,39.8,1.6,1795
2007,62000,260,42.2,2.1,5995
2007,62000,150,48.7,1.3,3190
2007,83350,325,31.4,3,5795
2007,93392,565,29.7,3.2,5995
2007,119213,20,61.4,1,1991
2007,68000,325,26.3,2.5,6995
2007,118000,300,38.2,3,5994
2007,50000,160,45.6,1.3,1990
2007,100000,160,46.3,1.4,1750
2007,94000,240,38.7,2,2375
2007,127000,260,37.2,1.8,1495
2007,129000,330,35.8,2.5,2499
2007,62233,200,42.8,1.6,2299
2007,99700,230,39.8,1.6,2995
2007,100100,200,42.8,1.6,1450
2007,104000,570,28.8,3,7340
2007,110000,160,45.6,1.4,1995
2007,86680,200,44.1,1.4,1995
2007,64000,145,37.7,1.7,2999
2007,84000,200,42.8,1.5,1800
2007,87000,325,32.5,1.8,3890
2007,128000,200,48.7,2,2995
2007,99000,555,28.8,2.5,3790
2007,74000,145,46.3,1.2,2295
2007,99212,235,38.7,1.6,1350
2007,58000,315,37.2,3,4880
2007,74000,570,28.8,3,8490
2007,39000,515,21,4.2,42992
2007,102000,235,38.7,1.6,1900
2007,80000,235,38.7,1.6,2050
2007,96468,165,45.6,1.4,1499
2007,54000,300,34.9,2,2895
2007,136764,235,44.1,2,2595
2007,50500,300,34.5,1.8,5995
2007,70767,305,36.2,1.8,2500
2007,133694,235,43.5,2,2495
2007,35930,160,47.1,1.3,3491
2007,113000,200,47.1,2,2250
2007,99000,200,45.6,2,2495
2007,79183,235,39.8,1.6,2995
2007,81400,145,47.1,1.2,2695
2007,136000,240,40.4,2,3995
2007,63787,205,47.9,2,3990
2007,60000,565,30.4,3,6950
2007,84000,205,40.9,1.6,3395
2007,39000,145,48.7,1.3,4195
2007,66541,200,42.2,1.6,1595
2007,104000,145,53.3,1.9,2795
2007,106000,200,40.9,1.4,2995
2007,119168,300,33.6,1.8,3495
2007,89000,220,43.4,2,5495
2007,107000,145,47.1,1.2,1450
2007,62596,145,47.1,1.2,2491
2007,57000,165,44.8,1.4,2295
2007,120870,235,42.8,2.2,2991
2007,81000,160,49.6,2,2478
2007,99500,565,32.8,2,2999
2007,83000,205,43.5,1.4,2999
2007,44000,195,47.9,2,3495
2007,116000,300,37.7,2,2895
2007,85858,200,47.1,2,3990
2007,60000,115,57.6,2,2995
2007,55000,190,45.6,2,4450
2007,125000,305,34.9,2,2675
2007,66000,120,52.3,1,2499
2007,71850,160,43.5,1.4,3495
2007,101000,555,20.3,4.2,5995
2007,82000,240,39.2,1.8,2500
2007,50750,555,27.4,3.2,7850
2007,167000,125,57.6,2,1500
2007,75000,240,39.2,1.8,1795
2007,98865,300,36.2,1.6,2999
2007,144000,240,44.1,2,2400
2007,78580,200,42.2,1.4,2495
2007,74000,325,32.1,1.8,5290
2007,88427,200,47.1,1.9,3995
2007,124000,265,37.7,1.4,2390
2007,75900,20,61.4,1,1995
2007,63000,565,29.7,3,8800
2007,70000,300,39.8,2.7,3990
2007,90254,305,36.2,1.8,2495
2007,69000,325,32.1,1.8,6495
2007,127700,205,44.1,2,2600
2007,69492,20,61.4,1,2295
2007,92200,235,39.2,1.8,2499
2007,127000,190,43.5,1.6,1495
2007,63400,160,47.1,1.3,2995
2007,89000,265,36.7,1.6,2295
2007,45000,570,23.3,5,12995
2007,63000,555,27.2,3.2,7850
2007,89000,220,44.8,1.8,4195
2007,66911,300,36.2,1.8,3000
2007,79000,160,41.5,1.2,2100
2007,71000,160,47.9,1.4,1699
2007,82000,235,39.8,1.8,2695
2007,59000,185,42.2,2,7995
2007,122965,580,26.9,3,7495
2007,130000,200,44.8,2,3495
2007,60241,160,45.6,1.4,2495
2007,42000,235,44.8,2,3480
2007,61429,165,45.6,1.4,2690
2007,85000,260,36.7,1.8,1795
2008,72900,200,45.6,2,4695
2008,112455,260,42.2,2.1,4295
2008,34801,235,39.8,1.6,4975
2008,77500,165,45.6,1.4,2500
2008,186500,260,36.7,1.8,1695
2008,1,200,47.9,2,1299
2008,130000,155,46.3,2,2675
2008,61442,260,37.7,2.5,6795
2008,100790,165,51.4,2,5750
2008,65000,160,50.4,2,5475
2008,116000,20,67.3,1.6,2595
2008,89241,200,42.8,2,4795
2008,116000,145,47.1,1.2,1695
2008,87643,265,39.2,2,5490
2008,116000,330,31.4,2,4480
2008,141000,200,42.2,1.6,1995
2008,63000,145,51.4,1.2,1999
2008,104000,260,36.2,1.8,1995
2008,91000,240,39.8,1.8,2495
2008,137000,150,54.3,1.8,1290
2008,107407,150,54.3,2,3995
2008,77000,200,43.5,1.3,1550
2008,174000,220,44.8,1.8,3995
2008,50000,260,37.7,2,3695
2008,81000,145,54.3,1.8,2295
2008,44000,150,51.4,1.2,2000
2008,79000,30,62.8,2,3975
2008,91000,160,51.4,1,3000
2008,55789,260,37.2,1.6,3199
2008,54733,145,47.9,1.6,4299
2008,89000,30,62.8,1.6,2495
2008,112304,305,34.5,1.6,2300
2008,57000,300,37.7,2,6750
2008,50990,160,45.6,1.3,1895
2008,68000,150,48.7,1.6,3940
2008,72000,325,31.7,2,4980
2008,82000,235,38.7,1.6,2650
2008,98630,240,39.2,3,6985
2008,99000,160,48.7,1.9,2250
2008,62315,125,56.5,1.4,4250
2008,56000,145,49.6,1.4,4490
2008,75988,190,44.8,1.8,4550
2008,67979,260,34.9,1.8,5780
2008,108000,240,38.7,1.6,1375
2008,94000,305,39.2,3,8499
2008,72000,260,40.9,3,8490
2008,27930,235,39.8,1.8,3495
2008,148297,200,46.3,2,2795
2008,111000,155,48.7,2,2295
2008,65000,195,48,2,4995
2008,130000,200,47.9,2,1995
2008,73000,200,42.2,1.6,3495
2008,69676,150,49.6,1.4,3499
2008,101000,200,42.2,1.6,1999
2008,59000,110,58.9,2,7475
2008,82020,145,47.1,1.2,694
2008,101057,300,39.2,2,4399
2008,127000,280,34.5,2,3695
2008,65782,260,37.7,1.6,3695
2008,88102,145,46.3,1.2,1799
2008,83000,260,36.7,1.8,3995
2008,121000,235,38.7,1.8,1495
2008,90000,200,40.9,1.6,2895
2008,174419,565,31.4,3,6950
2008,95000,160,45.6,1.4,2175
2008,67000,265,40.9,3,9495
2008,90000,260,42.2,2.1,4995
2008,99000,20,61.4,1,2495
2008,69000,570,19,6.2,18975
2008,90000,160,47.1,1.3,2695
2008,142000,145,48.7,1.2,899
2008,74205,200,43.5,1.6,3499
2008,89000,330,33.3,3,5490
2008,148000,305,35.8,3,3990
2008,52000,200,40.9,1.4,2895
2008,98500,200,42.2,1.6,2500
2008,80000,165,47.9,1.4,2995
2008,82000,235,38.7,1.8,3490
2008,93000,160,43.5,1.4,4590
2008,115000,235,39.8,2,2499
2008,55380,115,52.3,1,3495
2008,86000,260,37.2,1.8,3980
2008,75800,260,37.7,1.6,2900
2008,57000,570,28.8,3,9930
2008,61000,330,31.4,2,5195
2008,96000,565,28.8,3,6495
2008,78500,145,47.1,1.2,2695
2008,70000,325,30.4,2.3,3890
2008,89000,200,46.3,2,3480
2008,126000,265,37.2,1.8,3275
2008,52500,580,21,4.2,33950
2008,104000,205,40.4,1.6,2999
2008,62000,145,48.7,1.2,2195
2008,63000,125,58.9,1.2,3495
2008,88000,160,49.6,2,4495
2008,76264,165,45.6,1.4,2690
2008,131000,200,39.8,1.9,1695
2008,84490,30,62.8,1.2,1750
2008,124309,150,48.7,1.3,1985
2008,92500,150,53.3,1.9,3450
2008,87680,30,62.8,1.2,1995
2008,52691,235,39.8,1.7,3990
2008,55000,570,19.8,6.2,14995
2008,82156,260,37.2,2,5000
2008,54936,200,44.1,1.4,2395
2008,99000,300,37.7,2,2990
2008,103000,150,43.5,1.4,2350
2008,323000,200,44.1,2,2490
2008,135500,145,56.5,1.2,1000
2008,83000,230,42.1,2,8495
2008,50000,30,62.8,1.4,4695
2008,120000,165,47.1,1.3,2495
2008,119000,260,37.7,2,4495
2008,58500,160,43.5,1.4,3195
2008,136000,205,48.7,2,2995
2008,82000,260,36.7,2,5495
2008,106000,555,29.1,2.3,4890
2008,72200,200,40.9,1.4,3895
2008,97000,165,43.5,1.4,2495
2008,98000,240,42.8,2.2,2595
2008,60000,280,34.4,1.8,5980
2008,110000,555,28.8,3,5990
2008,55000,150,48.7,1.2,1495
2008,104000,210,42.2,2.1,3995
2008,23912,160,47.1,1.3,3975
2008,130000,200,44.8,2,3995
2008,59000,165,46.3,1.2,2395
2008,123000,265,42.2,2.1,3995
2008,58000,330,29.7,3,7495
2008,133107,10,65.7,1.5,3995
2008,99000,135,48.7,1.2,2895
2008,120000,10,65.7,1.5,4490
2008,98000,160,50.4,2,6450
2008,123000,160,51.3,2,3995
2008,78954,300,34.4,1.8,5850
2008,91000,280,36.2,2,5795
2008,31000,200,42.8,1.4,4495
2008,91748,160,51.4,2,4350
2008,103000,240,42.8,2.2,3995
2008,118000,30,62.8,1.4,1495
2008,82000,240,38.7,2,2479
2008,76000,205,43.5,1.3,795
2008,40079,145,48.7,1.3,4995
2008,85000,555,28.5,3,8790
2008,33000,20,61.4,1,2999
2008,73206,150,47.1,1.2,2650
2008,146604,160,51.4,2,4495
2008,59500,145,47.1,1.2,2350
2008,92000,200,44.1,2,2999
2008,90000,300,36.2,1.8,2485
2008,76000,235,39.2,3,5985
2008,76517,150,47.9,1.6,3995
2008,75700,235,42.2,2.7,6995
2008,92000,145,53.3,1.9,3695
2008,91000,230,42.2,2.1,5999
2008,86800,325,34.9,3,7998
2008,101000,125,58.9,2,4695
2008,141000,235,39.8,3,4250
2008,85500,300,35.8,2,3295
2008,97877,160,46.3,2,3295
2008,119000,570,28.5,3,5950
2008,77570,145,47.1,1.2,2695
2008,91000,195,42.1,1.6,2895
2008,76300,260,36.7,1.8,4295
2008,59750,160,43.5,1.3,1294
2008,105000,200,42.8,1.6,1895
2008,123023,200,42.2,2,3990
2008,108000,235,38.7,3,5990
2008,63000,325,31.7,3,14000
2008,99906,570,26.2,3.2,7995
2008,54000,145,47.1,1.2,2250
2008,71300,160,44.8,1.4,2495
2008,66000,260,37.2,1.6,2750
2008,104273,145,53.3,1.9,2495
2008,89000,205,42.2,1.6,2375
2008,83000,265,38.2,1.6,2499
2008,63000,160,45.6,1.3,1795
2008,103000,150,47.1,1.2,1799
2008,99000,300,35.8,2,4290
2008,97000,235,39.8,1.8,1999
2008,90000,205,43.5,1.6,2295
2008,90000,160,45.6,1.4,1999
2008,77000,195,43.5,1.3,850
2008,70000,305,34.5,1.8,5875
2008,65000,290,34.4,1.8,6775
2008,111034,150,47.9,1.2,1650
2008,63000,160,45.6,1.3,1795
2008,110265,145,54.3,1.9,1500
2008,70500,325,35.3,3,6480
2008,117000,200,48.7,2,2995
2008,1,145,53.3,1.9,1299
2008,84500,260,36.7,1.6,2595
2008,112600,235,39.8,1.4,1999
2008,61000,145,47.1,1.2,2250
2008,135000,165,49.6,2,2895
2008,24357,20,61.4,1,4499
2009,27292,20,60.1,1,3995
2009,89000,140,54.3,2,4994
2009,98000,200,51.4,2.2,4499
2009,148371,150,55.4,2,1985
2009,79089,145,49.6,1.2,2991
2009,102950,150,49.6,1.2,2500
2009,113492,200,42.2,1.6,1999
2009,92836,145,49.6,1.4,3495
2009,90771,160,44.1,1.4,1795
2009,57861,0,70.6,1.8,6850
2009,83000,0,72.4,1.8,6990
2009,98000,145,54.3,1.8,2995
2009,131797,160,51.4,2,2300
2009,43134,200,42.2,1.8,6695
2009,61171,145,49.6,1.2,3895
2009,107000,205,42.2,1.6,2495
2009,50975,160,51.4,2,3575
2009,88733,150,49.6,1.4,3989
2009,114000,145,55.4,2,2890
2009,77466,190,42.2,1.6,3450
2009,114321,235,38.2,2,4995
2009,90000,145,54.2,1.8,3895
2009,74095,0,65.7,1,2699
2009,15000,300,35.8,2,4250
2009,89000,200,40.9,1.6,2280
2009,44000,260,37.7,1.6,2890
2009,60190,265,37.7,1.6,3895
2009,49000,260,36.2,1.8,2899
2009,80000,125,52.3,1.2,2595
2009,73000,240,38.2,2,8995
2009,54000,145,47.1,1.4,5995
2009,78841,235,39.8,1.6,3695
2009,91000,200,43.5,1.6,1995
2009,109000,235,40.4,1.8,1999
2009,52000,200,42.2,1.6,3350
2009,82545,145,47.1,1.4,4795
2009,193000,160,52.3,2,2250
2009,98000,145,49.6,1.2,2750
2009,74000,125,57.6,2,4395
2009,58000,235,39.8,1.8,4490
2009,59981,145,47.1,1.4,6995
2009,34000,160,46.3,1.4,2995
2009,80000,150,54.3,1.8,3690
2009,110000,200,43.5,1.6,1500
2009,67000,160,45.6,1.4,5495
2009,89000,305,39.8,2,3800
2009,114000,300,35.8,2,2790
2009,21000,165,43.5,1.4,4299
2009,91085,30,61.4,1.4,3299
2009,89000,0,72.4,1.4,2995
2009,67039,145,48.7,1.2,3999
2009,65621,145,48.7,1.2,3999
2009,36654,145,47.9,1.4,6499
2009,90000,305,37.7,2,2950
2009,41637,145,48.7,1.2,2495
2009,106000,235,37.7,1.8,1990
2009,96000,235,42.2,2.1,4200
2009,130000,300,37.7,3,4480
2009,90000,200,47.1,2,2995
2009,53556,160,50.4,2,4495
2009,49500,150,49.6,1.4,4000
2009,114988,165,50.4,2,3685
2009,80000,235,40.4,1.8,3295
2009,63400,145,49.6,1.2,4045
2009,48555,125,51.4,1.2,3784
2009,67253,145,49.6,1.2,3800
2009,68500,205,42.2,1.6,2950
2009,92000,200,42.2,1.6,2400
2009,85049,205,42.2,1.6,3485
2009,59496,260,42.8,2.2,5685
2009,68441,30,55.4,1.2,3295
2009,94028,205,43.5,1.4,1450
2009,87000,150,47.9,1.6,3495
2009,118000,30,62.8,1.6,2495
2009,109000,145,53.3,1.8,2995
2009,33000,200,43.4,1.4,5295
2009,89000,0,76.3,1.6,3495
2009,79606,240,39.8,1.8,1995
2009,58000,200,44.8,1.8,5475
2009,80000,200,46.3,2,5975
2009,75000,200,45.6,2,5275
2009,102000,30,58.9,1.6,2395
2009,61000,30,55.4,1.2,2995
2009,91000,260,39.2,2,5395
2009,66000,165,44.8,1.4,4998
2009,62000,125,51.4,1.2,2995
2009,60000,235,39.8,1.6,4485
2009,89969,205,42.2,1.6,2991
2009,59000,240,44.1,2,6995
2009,70000,20,67.3,1.6,3995
2009,95000,145,49.6,1.4,3295
2009,86022,205,43.5,1.4,2491
2009,71926,145,49.6,1.2,3491
2009,65000,150,47.9,1.6,3895
2009,43000,0,65.7,1,3495
